Category,Name,Description
Official,Assistant,通用助手机器人，擅长编程相关任务和非英语语言。由gpt-3.5-turbo提供技术支持。
Official,Web-Search,通用助手机器人，能够根据需要进行网络搜索以提供响应。非常适合查询最新信息或特定事实。由gpt-3.5-turbo提供技术支持。（目前处于测试阶段）
Official,Claude-3-Opus,Anthropic最智能的模型，能够处理复杂分析、多步骤的长任务以及高阶数学和编码任务。上下文窗口已缩短，以优化速度和成本。对于更长的上下文信息，请尝试Claude-3-Opus-200k。
Official,Claude-3-Sonnet,Anthropic的Claude-3-Sonnet实现了智能和速度的平衡，并缩短了上下文窗口，用以优化速度和成本。对于更长的上下文信息，请尝试Claude-3-Sonnet-200k。
Official,Claude-3-Opus-200k,Anthropic最智能的模型，能够处理复杂分析、多步骤的长任务以及高阶数学和编码任务。支持200k个上下文Token。
Official,Claude-3-Sonnet-200k,Anthropic的Claude-3-Sonnet实现了智能和速度的平衡。支持200k个上下文Token。
Official,GPT-4,OpenAI的最强大模型。在定量问题（数学和物理）、创意写作以及许多其他挑战性任务中，表现比ChatGPT更强。由GPT-4 Turbo with Vision提供技术支持。
Official,Playground-v2.5,"Generates high quality images based on the user's most recent prompt. Allows users to specify elements to avoid in the image using the ""--no"" parameter at the end of the prompt (e.g. ""Tall trees, daylight --no rain""). Optionally, specify the aspect ratio using the `--aspect` parameter (e.g. ""Tall trees, daylight --aspect 1:2""). Powered by Playground_v2.5 from playground.com."
Official,Claude-instant-100k,"Anthropic的最快速模型，支持高达100k个Token（约75,000个词）的上下文窗口。可以分析非常长的文档、代码等。"
Official,DALL-E-3,OpenAI最强大的图像生成模型。可根据用户最近的提示词生成具有复杂细节的高质量图像。
Official,StableDiffusionXL,根据用户最近的提示词生成高质量的图像。 允许用户在提示词末尾使用“--无”参数指定图像中要避免的元素（例如“高大的树木，白天，--无雨”）。 由Stable Diffusion XL提供技术支持。
Official,Mistral-Large,"Mistral AI的最强大模型。支持32k个Token（约24,000字）的上下文窗口，并且在全面的基准测试中比Mistral-Medium、Mixtral-8x7b和Mistral-7b更强大。"
Official,Mistral-Medium,"Mistral AI的中等大小模型。支持32k个Token（约24,000字）的上下文窗口，并且在全面的基准测试中比Mixtral-8x7b和Mistral-7b更强大。"
Official,Llama-2-70b-Groq,"Enjoy Llama 2, 70B running on the Groq LPU™ Inference Engine. API access available, email api@groq.com."
Official,Claude-2-100k,"Anthropic的Claude 2模型，支持100k个Token（约75,000个词）的上下文窗口。特别擅长创意写作。"
Official,Claude-2,Anthropic的Claude 2模型。缩短了上下文窗口，用以优化速度和成本。对于更长的上下文信息，请尝试Claude-2-100k。
Official,Claude-instant,"Anthropic的最快模型，擅长创意类任务。支持9k个Token（约7,000个词）的上下文窗口。"
Official,Gemini-Pro,"The multi-modal model from Google's Gemini family that balances model performance and speed. Exhibits strong generalist capabilities and excels particularly in cross-modal reasoning. The model accepts text, image, and video input and provides text output. It considers only the images and videos from the latest user message, with a restriction of one video per message."
Official,RekaFlash,"Reka's efficient and capable 21B multimodal model optimized for fast workloads and amazing quality. Works with text, images and video inputs."
Official,ChatGPT,由gpt-3.5-turbo提供技术支持。
Official,ChatGPT-16k,由gpt-3.5-turbo-16k提供技术支持。
Official,GPT-4-32k,由GPT-4 Turbo with Vision提供技术支持。
Official,Mixtral-8x7B-Chat,Mixtral 8x7B Mixture-of-Experts model from Mistral AI fine-tuned for instruction following Hosted by Fireworks.ai: https://app.fireworks.ai/models/fireworks/mixtral-8x7b-instruct
